date,weekday,holiday,holiday_name,rest1,rest2,rest3,rest4,total
2017-01-18,Wednesday,0,na,37.0,26.0,25.0,12.0,100.0
2017-01-19,Thursday,0,na,23.0,19.0,19.0,9.0,70.0
2017-01-20,Friday,0,na,40.0,42.0,22.0,21.0,125.0
2017-01-21,Saturday,0,na,63.0,25.0,57.0,37.0,182.0
2017-01-22,Sunday,0,na,38.0,15.0,49.0,44.0,146.0
2017-01-23,Monday,0,na,18.0,4.0,24.0,16.0,62.0
2017-01-24,Tuesday,0,na,17.0,13.0,35.0,17.0,82.0
2017-01-25,Wednesday,0,na,35.0,38.0,22.0,20.0,115.0
2017-01-26,Thursday,0,na,33.0,12.0,19.0,31.0,95.0
2017-01-27,Friday,0,na,27.0,44.0,25.0,35.0,131.0
2017-01-28,Saturday,0,na,78.0,48.0,74.0,50.0,250.0
2017-01-29,Sunday,0,na,63.0,28.0,52.0,47.0,190.0
2017-01-30,Monday,0,na,16.0,9.0,30.0,19.0,74.0
2017-01-31,Tuesday,0,na,28.0,24.0,31.0,11.0,94.0
2017-02-01,Wednesday,0,na,29.0,30.0,13.0,9.0,81.0
2017-02-02,Thursday,1,Groundhog Day,26.0,11.0,18.0,12.0,67.0
2017-02-03,Friday,0,na,23.0,36.0,34.0,28.0,121.0
2017-02-04,Saturday,0,na,86.0,47.0,58.0,38.0,229.0
2017-02-05,Sunday,0,na,45.0,9.0,48.0,55.0,157.0
2017-02-06,Monday,0,na,14.0,4.0,18.0,24.0,60.0
2017-02-07,Tuesday,0,na,21.0,6.0,23.0,15.0,65.0
2017-02-08,Wednesday,0,na,44.0,17.0,19.0,32.0,112.0
2017-02-09,Thursday,0,na,41.0,26.0,32.0,23.0,122.0
2017-02-10,Friday,0,na,55.0,33.0,34.0,24.0,146.0
2017-02-11,Saturday,0,na,82.0,36.0,49.0,52.0,219.0
2017-02-12,Sunday,0,na,26.0,24.0,42.0,92.0,184.0
2017-02-13,Monday,0,na,15.0,25.0,9.0,15.0,64.0
2017-02-14,Tuesday,1,Valentine's Day,39.0,34.0,58.0,117.0,248.0
2017-02-15,Wednesday,0,na,31.0,24.0,17.0,18.0,90.0
2017-02-16,Thursday,0,na,41.0,33.0,20.0,16.0,110.0
2017-02-17,Friday,0,na,40.0,49.0,26.0,25.0,140.0
2017-02-18,Saturday,0,na,103.0,34.0,61.0,50.0,248.0
2017-02-19,Sunday,0,na,21.0,14.0,47.0,80.0,162.0
2017-02-20,Monday,1,Presidents Day,51.0,27.0,39.0,17.0,134.0
2017-02-21,Tuesday,0,na,22.0,16.0,9.0,37.0,84.0
2017-02-22,Wednesday,0,na,38.0,16.0,25.0,29.0,108.0
2017-02-23,Thursday,0,na,44.0,34.0,23.0,17.0,118.0
2017-02-24,Friday,0,na,44.0,56.0,23.0,21.0,144.0
2017-02-25,Saturday,0,na,88.0,63.0,61.0,49.0,261.0
2017-02-26,Sunday,0,na,42.0,31.0,57.0,23.0,153.0
2017-02-27,Monday,0,na,31.0,18.0,7.0,22.0,78.0
2017-02-28,Tuesday,0,na,31.0,38.0,40.0,14.0,123.0
2017-03-01,Wednesday,0,na,19.0,14.0,20.0,8.0,61.0
2017-03-02,Thursday,0,na,40.0,10.0,27.0,3.0,80.0
2017-03-03,Friday,0,na,36.0,35.0,20.0,11.0,102.0
2017-03-04,Saturday,0,na,92.0,53.0,62.0,30.0,237.0
2017-03-05,Sunday,0,na,39.0,8.0,66.0,51.0,164.0
2017-03-06,Monday,0,na,10.0,6.0,24.0,23.0,63.0
2017-03-07,Tuesday,0,na,28.0,9.0,19.0,13.0,69.0
2017-03-08,Wednesday,0,na,27.0,19.0,35.0,21.0,102.0
2017-03-09,Thursday,0,na,63.0,22.0,13.0,13.0,111.0
2017-03-10,Friday,0,na,38.0,53.0,32.0,32.0,155.0
2017-03-11,Saturday,0,na,128.0,29.0,80.0,59.0,296.0
2017-03-12,Sunday,0,na,46.0,16.0,55.0,41.0,158.0
2017-03-13,Monday,0,na,43.0,24.0,18.0,13.0,98.0
2017-03-14,Tuesday,0,na,21.0,14.0,22.0,29.0,86.0
2017-03-15,Wednesday,0,na,12.0,18.0,21.0,11.0,62.0
2017-03-16,Thursday,0,na,30.0,8.0,24.0,9.0,71.0
2017-03-17,Friday,1,St. Patrick's Day,73.0,45.0,37.0,50.0,205.0
2017-03-18,Saturday,0,na,71.0,34.0,30.0,44.0,179.0
2017-03-19,Sunday,0,na,33.0,25.0,68.0,79.0,205.0
2017-03-20,Monday,0,na,34.0,22.0,19.0,50.0,125.0
2017-03-21,Tuesday,0,na,4.0,18.0,15.0,18.0,55.0
2017-03-22,Wednesday,0,na,33.0,39.0,14.0,23.0,109.0
2017-03-23,Thursday,0,na,29.0,23.0,19.0,13.0,84.0
2017-03-24,Friday,0,na,50.0,60.0,31.0,13.0,154.0
2017-03-25,Saturday,0,na,95.0,43.0,62.0,64.0,264.0
2017-03-26,Sunday,0,na,33.0,27.0,48.0,38.0,146.0
2017-03-27,Monday,0,na,26.0,31.0,34.0,7.0,98.0
2017-03-28,Tuesday,0,na,21.0,25.0,20.0,31.0,97.0
2017-03-29,Wednesday,0,na,39.0,40.0,22.0,39.0,140.0
2017-03-30,Thursday,0,na,36.0,22.0,13.0,29.0,100.0
2017-03-31,Friday,0,na,49.0,52.0,28.0,20.0,149.0
